date,RMRF,SMB,HML,RMW,CMA,WML,Rev
1998-07-01,0.0234,0.0027,-0.0284,-0.0386,0.0293,-0.0318,0.0318
1998-07-02,-0.0021,-0.0088,0.008,0.0111,-0.0076,0.0035,-0.0035
1998-07-03,0.0207,0.001,-0.008,-0.0356,-0.0508,-0.0088,0.0088
1998-07-06,-0.0104,-0.0055,-0.0185,-0.0088,-0.0105,-0.013,0.013
1998-07-07,0.0178,-0.046,-0.0302,0.0207,0.0391,0.0244,-0.0244
1998-07-08,0.0119,0.0098,0.0014,0.0062,-0.0051,-0.0056,0.0056
1998-07-10,-0.0023,0.0387,-0.0133,0.0177,0.0062,-0.0227,0.0227
1998-07-13,0.0082,0.0141,0.0522,0.0122,-0.053900000000000003,0.0053,-0.0053
1998-07-14,0.0203,-0.0019,0.0135,0.0194,-0.028,-0.0021,0.0021
1998-07-15,-1e-4,-0.0138,-0.0011,0.0058,-0.0111,0.029,-0.029
1998-07-16,0.0233,-0.0177,0.0275,0.0282,-0.015,-0.0176,0.0176
1998-07-17,0.0129,-0.0352,0.0198,-0.0014,-0.0174,-0.0164,0.0164
1998-07-20,-0.0022,-0.0062,-0.0116,-0.0109,-0.0217,0.021,-0.021
1998-07-21,-0.0116,0.0064,0.0161,0.0145,-0.0312,0.0114,-0.0114
1998-07-22,-0.0016,0.0186,0.021,0.036,-0.0303,0.0177,-0.0177
1998-07-23,-0.0261,0.0039,0.0166,0.0205,0.0213,0.0047,-0.0047
1998-07-24,-0.0069,0.0074,0.0056,0.0133,0.0051,0.0028,-0.0028
1998-07-27,-0.0017,-0.0078,-0.0079,0.0051,0.0148,0.0303,-0.0303
1998-07-28,-0.0243,-0.0061,-0.0144,-4e-4,0.0255,0.0213,-0.0213
1998-07-29,0.0208,0.0198,0.021,0.0244,0.0012,-0.0294,0.0294
1998-07-30,0.0363,-0.0265,-0.013,-0.0508,-0.0247,-0.0149,0.0149
1998-07-31,-0.0221,-0.0047,0.0161,0.0174,0.0098,-0.0016,0.0016
